,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,34.23,33.3813810379379
1,500,36.01,40.21829683116877
2,750,34.45,40.203121769335276
3,1000,34.42,37.39619766767739
4,1250,36.290000000000006,40.17187324484633
5,1500,34.88,41.269196745272374
6,1750,44.010000000000005,56.031575026943514
7,2000,34.31,40.82271916470044
8,2250,33.269999999999996,35.55317988591175
9,2500,34.74,37.37803365614622
10,2750,39.33,48.68805397630921
11,3000,32.13,34.407987444777994
12,3250,33.28,37.929587395593956
13,3500,38.85,49.530071673681235
14,3750,38.779999999999994,42.87146603511477
15,4000,32.88,35.098185138266054
16,4250,48.65,69.198179166796
17,4500,32.16,34.476534048538
18,4750,37.68,44.47995728415216
19,5000,43.78,57.576649780965894
20,5250,42.559999999999995,50.183337872246
21,5500,37.43,45.26088377396093
22,5750,37.2,41.17143427183464
23,6000,42.089999999999996,53.36751258958956
24,6250,38.93,41.06109594250986
25,6500,41.08,44.45319561066448
26,6750,45.82,50.95582007975145
27,7000,43.23,47.55622567025268
28,7250,37.45,40.46147550448451
29,7500,42.39,46.299043186657755
30,7750,44.43,49.465600168197696
31,8000,41.6,45.117657297337594
32,8250,45.56,47.433062308900105
33,8500,38.14,38.3827357023962
34,8750,43.42,45.09774495470921
35,9000,43.2,46.05559683686664
36,9250,47.1,54.02006108845121
37,9500,46.72,49.4943693767281
38,9750,43.230000000000004,45.91673551114016
39,10000,41.31,45.86747649478877
40,10250,46.63,49.7025311226702
41,10500,37.529999999999994,36.00820184346894
42,10750,36.11,37.17614019771283
43,11000,38.809999999999995,39.11180640164808
44,11250,43.220000000000006,44.02822503803667
45,11500,44.5,50.776776187544634
46,11750,37.87,37.997520971768665
47,12000,41.199999999999996,44.71461729680799
48,12250,41.42,43.89158917150301
49,12500,36.300000000000004,37.52028784537773
50,12750,47.62,57.598026007841625
51,13000,38.940000000000005,41.02408317074253
52,13250,36.779999999999994,36.17273282460146
53,13500,38.71,44.65665012067071
54,13750,38.940000000000005,41.00799190401793
55,14000,36.42,39.0070326992454
56,14250,35.99,37.913564854811526
57,14500,38.67,38.92525658232711
58,14750,38.870000000000005,38.97331907856964
59,15000,42.65,46.83205099074778
60,15250,35.32000000000001,34.685279298284456
61,15500,38.88,44.078357501159225
62,15750,40.3,41.736195322525504
63,16000,39.769999999999996,41.72618602268844
64,16250,35.85,35.93470467389429
65,16500,34.55,35.764088133209825
66,16750,35.35,34.52523714618047
67,17000,40.78,43.386606228189834
68,17250,38.53000000000001,38.394994465424794
69,17500,36.58,40.44414172658384
70,17750,37.86,40.12535856537608
71,18000,34.9,37.965734551039574
72,18250,39.38,40.55522900933985
73,18500,36.809999999999995,37.09052978861316
74,18750,37.03,41.31184575881354
75,19000,32.64,33.27032311234744
76,19250,41.93,44.54030309730727
77,19500,32.62,32.29570559687464
78,19750,36.35,39.39380661982287
79,20000,35.65,36.042363962426215
