,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,13.080000000000002,5.028578327917345
1,500,9.81,0.5730619512757763
2,750,37.36,28.95364225792672
3,1000,211.8,144.19055447566598
4,1250,186.77999999999997,60.335533477379634
5,1500,209.16,48.68169471166755
6,1750,221.10999999999999,36.85949538450031
7,2000,230.15,52.11178369620446
8,2250,251.58,61.696447223482814
9,2500,228.91,68.06649249079904
10,2750,238.94,76.79267152534803
11,3000,232.85,91.17066414148798
12,3250,209.13999999999996,69.51685694851285
13,3500,236.19,84.20810768566173
14,3750,233.96999999999997,125.6609191435428
15,4000,199.08999999999997,63.26022763158539
16,4250,211.55,57.88752024400424
17,4500,251.20999999999998,125.28397902365649
18,4750,242.81,129.57593295052905
19,5000,192.75,49.99958999831898
20,5250,187.99,25.08948783853509
21,5500,184.09,20.024395121950633
22,5750,221.67999999999998,40.537866248730964
23,6000,250.4,60.68153755467968
24,6250,258.02,123.19351281621934
25,6500,217.61999999999998,51.81317979047417
26,6750,199.48000000000002,33.794505470564296
27,7000,201.32,39.53164049214249
28,7250,252.66,124.34417316464813
29,7500,255.16000000000003,123.02106892723701
30,7750,263.02,122.84309341595073
31,8000,219.56000000000003,45.06299368661608
32,8250,257.29999999999995,121.1947729895972
33,8500,326.33000000000004,146.20329544849528
34,8750,248.76000000000005,91.21286860964302
35,9000,240.17000000000002,126.39344365907591
36,9250,269.66999999999996,105.76152703133592
37,9500,238.76000000000005,69.81460735404877
38,9750,210.23000000000002,63.16871535815812
39,10000,220.04000000000002,55.50039999855856
40,10250,253.34,124.36584498969161
41,10500,241.86000000000004,78.43218982025174
42,10750,222.25,71.76661480103404
43,11000,284.98,132.41844508979858
44,11250,285.48999999999995,114.59073871827513
45,11500,366.32000000000005,109.50494326741601
46,11750,320.82,146.40778189700163
47,12000,295.8,127.03508570469813
48,12250,355.82,123.39094213109809
49,12500,282.72999999999996,112.70565469398596
50,12750,223.46999999999997,61.17092937008559
51,13000,244.31000000000003,69.5293707723578
52,13250,194.66,51.76151466099113
53,13500,234.45999999999998,110.66357756732792
54,13750,180.50000000000003,39.60077019453031
55,14000,269.28000000000003,86.35487594803202
56,14250,221.68,85.18708587573587
57,14500,227.07,58.349289627209686
58,14750,262.74,93.54169872308285
59,15000,259.22999999999996,54.532353699432406
60,15250,241.10999999999999,44.86265038982873
61,15500,285.03999999999996,123.92497891869903
62,15750,281.52,119.08172235905896
63,16000,317.67999999999995,116.6962964279501
64,16250,308.73,86.60740499518502
65,16500,258.12,82.24990334340825
66,16750,279.44,108.3915467183673
67,17000,253.93,84.91504931400557
68,17250,270.98,90.28048847896207
69,17500,265.71,100.3061882437968
70,17750,274.29,118.84294425837825
71,18000,241.92000000000002,77.72188623547424
72,18250,347.15999999999997,137.68612275752412
73,18500,270.15000000000003,88.78904774801902
74,18750,353.15000000000003,129.5120882388976
75,19000,277.44,118.11599129669106
76,19250,314.9,127.82156703780471
77,19500,288.68,119.1414856378751
78,19750,319.33,101.54574634124268
79,20000,228.9,46.535878631438784
