,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,9.42,0.1363818169698587
1,500,9.37,0.1029563014098702
2,750,9.47,0.17492855684535943
3,1000,9.440000000000001,0.23537204591879632
4,1250,9.319999999999999,0.16309506430300083
5,1500,9.31,0.18547236990991386
6,1750,9.74,0.9248783703817495
7,2000,9.3,0.20736441353327706
8,2250,9.39,0.17146428199482272
9,2500,9.5,0.2792848008753791
10,2750,9.260000000000002,0.08602325267042644
11,3000,9.139999999999999,0.07999999999999959
12,3250,10.129999999999999,0.5436910887627276
13,3500,10.38,0.4802082881417187
14,3750,10.18,0.4433959855479072
15,4000,10.51,0.9161877536837082
16,4250,12.639999999999999,3.522697829788982
17,4500,12.690000000000001,1.7307223925286224
18,4750,19.03,8.398130744397827
19,5000,35.94,23.670475280399423
20,5250,28.910000000000004,10.345888072079653
21,5500,75.6,40.454097443893126
22,5750,94.51,75.58037708294395
23,6000,96.83000000000001,56.39606014607758
24,6250,58.33,27.695606149712628
25,6500,128.39000000000001,98.92775849072899
26,6750,142.05,97.71712746494342
27,7000,122.31999999999998,69.93411613797659
28,7250,109.05,43.825985442429015
29,7500,148.10999999999999,71.35696462154202
30,7750,145.37,48.15838037143692
31,8000,163.73999999999998,33.19122474389879
32,8250,178.32,59.21650614482419
33,8500,182.81,33.96498785514283
34,8750,204.20000000000002,69.46155051537505
35,9000,190.97999999999996,39.40952422955648
36,9250,222.08,83.02263908115664
37,9500,204.56,51.60619536451025
38,9750,206.62999999999997,47.37370156531998
39,10000,202.72,38.48924005485169
40,10250,213.55,49.60498966837913
41,10500,200.45,37.61393358849882
42,10750,209.68,59.30273686770282
43,11000,213.87000000000003,43.87953509325276
44,11250,212.33999999999997,32.66282902628
45,11500,217.06,30.82021090129008
46,11750,212.10999999999999,22.054940489604594
47,12000,216.37000000000003,24.57595572912679
48,12250,237.95999999999998,40.03872375588413
49,12500,225.20999999999998,25.668918948798765
50,12750,231.51,22.431326309427178
51,13000,246.77999999999997,38.463613974768414
52,13250,240.45999999999998,27.842977570655037
53,13500,238.94,36.153884991795834
54,13750,243.55,34.143418106569236
55,14000,245.8,35.863811844253256
56,14250,264.52,44.599109856587944
57,14500,249.49,35.563020119219345
58,14750,229.91,17.89537370383754
59,15000,243.04000000000002,35.682003867496
60,15250,244.78000000000003,23.565432310908278
61,15500,246.20999999999998,34.81060757872519
62,15750,244.82000000000002,35.62912572601242
63,16000,242.14000000000001,26.837518514199484
64,16250,246.04000000000002,40.83910380995156
65,16500,234.71999999999997,25.490323654281056
66,16750,227.99,20.861816795284152
67,17000,241.7,37.4468823802463
68,17250,240.95,19.75451847046644
69,17500,238.32999999999998,23.658245919763367
70,17750,232.85999999999999,21.320562844352875
71,18000,246.14000000000001,26.49574305430969
72,18250,227.6,24.855623106251027
73,18500,228.92,30.986006519072447
74,18750,228.15,24.628520052979223
75,19000,229.28000000000003,19.4490513907491
76,19250,217.45,18.12876167861446
77,19500,220.52999999999997,15.46242542423407
78,19750,219.75,16.96452180286848
79,20000,220.76,23.48877178568518
