,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,11.27,1.6360317845323178
1,500,44.53,35.54836986417239
2,750,150.7,72.5764355696806
3,1000,219.43999999999997,97.55490966630023
4,1250,248.20999999999998,133.42961590291716
5,1500,298.13,107.4904535296042
6,1750,282.21999999999997,125.2638599117878
7,2000,223.87999999999997,55.46975392049256
8,2250,223.85999999999999,34.35539841131231
9,2500,233.56,83.69308454107784
10,2750,214.76999999999998,58.61306680254838
11,3000,207.66000000000003,64.5458472715325
12,3250,248.86999999999998,130.16190149194964
13,3500,250.04000000000002,136.5835766115385
14,3750,249.58,143.8522526761399
15,4000,259.86,142.03074807942116
16,4250,252.85999999999999,146.66671878786954
17,4500,252.06,138.38532942476238
18,4750,265.11,139.61111846840853
19,5000,279.65999999999997,145.5893176026318
20,5250,299.8,159.92884667876524
21,5500,315.36,116.60779733791391
22,5750,286.78000000000003,116.1345280267673
23,6000,357.81,112.07446363913593
24,6250,348.64,107.3346281495399
25,6500,367.41999999999996,106.27934700589762
26,6750,388.44,115.78782923951894
27,7000,377.65999999999997,123.41767053384211
28,7250,374.03000000000003,138.5431975955514
29,7500,349.85,147.11777254975007
30,7750,343.21000000000004,147.06383103945035
31,8000,338.07,157.89804178646423
32,8250,298.3,134.39171477438632
33,8500,323.75,100.34928001734741
34,8750,271.45,115.93871225781318
35,9000,215.82000000000002,79.89856444267319
36,9250,276.53000000000003,128.19747111390305
37,9500,248.09,115.36705075540416
38,9750,326.52000000000004,154.20290723588838
39,10000,238.60999999999999,135.8394361001252
40,10250,193.89000000000001,108.11263293436156
41,10500,221.93,144.73315998761305
42,10750,230.85,145.15877169499612
43,11000,231.0,127.36359369929855
44,11250,243.4,123.01310092831575
45,11500,250.77000000000004,122.69318889001133
46,11750,251.60999999999999,78.7930034965034
47,12000,222.95,35.17816083879315
48,12250,273.61,124.07274237317397
49,12500,275.93999999999994,115.81655494790026
50,12750,259.18,121.87547169139489
51,13000,254.53000000000003,124.35190629821483
52,13250,259.97999999999996,121.90275058422594
53,13500,259.27,123.22191201243389
54,13750,284.34000000000003,111.90613656095898
55,14000,254.09,124.75702545347896
56,14250,326.71999999999997,121.73187175099216
57,14500,315.07,110.8097044486628
58,14750,322.41999999999996,107.69503981149735
59,15000,337.46999999999997,119.76627071091427
60,15250,313.94,120.65328590635234
61,15500,322.81000000000006,108.0419936876398
62,15750,305.43,127.82458918377168
63,16000,280.25999999999993,97.24045145925639
64,16250,295.54,82.97511313640976
65,16500,325.75,123.07360805631725
66,16750,302.4,116.79513688506042
67,17000,311.95,113.20172260173429
68,17250,329.06,126.15931753144514
69,17500,292.16999999999996,112.09480630252233
70,17750,303.63,126.42813610901649
71,18000,356.8,128.67319456670066
72,18250,340.62,137.8302927516299
73,18500,325.8,144.96814822573955
74,18750,331.04,139.326750482454
75,19000,368.15999999999997,129.6892724939114
76,19250,329.1,143.61962609615722
77,19500,365.77000000000004,148.19709713756205
78,19750,354.62,144.87367807852468
79,20000,322.02,123.2144171759133
