,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,10.37,2.269273011340857
1,500,9.370000000000001,0.14352700094407322
2,750,147.81,189.3278833135785
3,1000,220.17999999999998,106.47346899580195
4,1250,256.41999999999996,80.13323031052722
5,1500,236.14000000000001,74.92680695185136
6,1750,212.06,52.78773910672818
7,2000,208.28999999999996,22.25145837917147
8,2250,158.37,16.283537699161077
9,2500,156.57000000000002,22.302636615431815
10,2750,148.84,31.728936320021823
11,3000,106.45,51.62409321237517
12,3250,153.09,29.67934298464169
13,3500,139.67000000000002,22.96420257705458
14,3750,128.03000000000003,14.733757158308261
15,4000,148.07,12.048883765727018
16,4250,152.4,18.84465441444868
17,4500,129.65,38.05419819152678
18,4750,138.61,49.88752749936601
19,5000,133.04000000000002,43.849029635785556
20,5250,133.53000000000003,19.166340287076192
21,5500,157.76,20.641642376516458
22,5750,226.26999999999998,137.3799133789216
23,6000,249.03000000000003,131.7783199164415
24,6250,217.62999999999997,142.16466368264653
25,6500,250.48000000000002,128.1832071684899
26,6750,221.53999999999996,92.66272929285
27,7000,290.95,154.40743829233097
28,7250,239.65,107.86396525253464
29,7500,228.13999999999996,90.84770442889572
30,7750,345.04,131.84864580267785
31,8000,184.89,75.43253542073208
32,8250,303.29,159.52467332673024
33,8500,268.57,194.85257914638953
34,8750,246.51999999999998,141.1720850593346
35,9000,292.31000000000006,139.6136504787408
36,9250,338.72,164.18985839569993
37,9500,235.71000000000004,134.58550590609673
38,9750,343.58000000000004,158.44420342821002
39,10000,237.2,133.45281937823572
40,10250,244.94,133.35475769540432
41,10500,185.86999999999998,58.92239472390781
42,10750,175.03000000000003,26.893727893321145
43,11000,234.19,138.3726649306141
44,11250,169.02999999999997,32.303879024042914
45,11500,229.83,136.64091480958402
46,11750,317.74,152.65622293244385
47,12000,310.33000000000004,157.6276168696336
48,12250,300.21,162.1295142779377
49,12500,254.61000000000004,131.09825856966978
50,12750,213.22000000000003,50.670964072138986
51,13000,254.77000000000004,131.74295275269947
52,13250,234.16,100.09683011963965
53,13500,305.77,153.21157789148967
54,13750,313.25,153.42426796305728
55,14000,343.65999999999997,130.68993228248303
56,14250,358.90999999999997,153.41819448813754
57,14500,365.81,165.57646692691569
58,14750,442.2,96.97667760858795
59,15000,351.66999999999996,164.46376379008234
60,15250,391.62,148.26752038123522
61,15500,319.94,151.0990450002911
62,15750,425.6,71.67182849627878
63,16000,436.95,117.11700986620176
64,16250,430.31000000000006,91.69533466867331
65,16500,346.38,131.55307902135928
66,16750,442.05,115.9
67,17000,417.27,109.49445465410565
68,17250,381.39,148.69267096935206
69,17500,370.5,134.01071598943122
70,17750,458.71000000000004,82.58
71,18000,372.87,129.4303349296447
72,18250,351.89,124.62817658940533
73,18500,448.13,103.74
74,18750,438.05,81.48229255488582
75,19000,468.65,62.45030023947043
76,19250,387.3,138.0536996968933
77,19500,432.73999999999995,134.52
78,19750,451.6,96.8
79,20000,386.34000000000003,140.99346580604367
