,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,10.669999999999998,2.519047439013406
1,500,10.790000000000001,2.7310071402323355
2,750,10.729999999999999,2.5854593402333754
3,1000,10.57,2.4424577785501227
4,1250,10.510000000000002,2.5213885063591452
5,1500,10.68,2.514478077056946
6,1750,10.750000000000002,2.7320322106446695
7,2000,10.83,2.7677788929031166
8,2250,10.65,2.628117196777952
9,2500,10.64,2.7823371470761766
10,2750,10.75,2.726169473822198
11,3000,10.64,2.480604764971639
12,3250,10.61,2.4713154391942767
13,3500,10.85,2.8509647489928738
14,3750,10.830000000000002,2.886970730714117
15,4000,10.709999999999999,2.725142198124714
16,4250,10.5,2.330236039546209
17,4500,10.77,2.894235650392
18,4750,10.780000000000001,3.010083055332527
19,5000,10.59,2.332252130452452
20,5250,10.58,2.385078615056535
21,5500,10.809999999999999,2.8711321808652426
22,5750,10.670000000000002,2.7185657983576568
23,6000,10.829999999999998,2.6605638500137516
24,6250,10.459999999999999,2.5014795621791515
25,6500,10.629999999999999,2.785605858695734
26,6750,10.629999999999999,2.562342678097526
27,7000,10.48,2.386755119403748
28,7250,10.63,2.7115678121706646
29,7500,10.94,2.9831862161118936
30,7750,10.78,2.616218645297063
31,8000,10.780000000000001,2.736347931093559
32,8250,10.6,2.632109420217936
33,8500,10.64,2.732654387221334
34,8750,10.5,2.35732899697942
35,9000,10.66,2.5981531902487967
36,9250,10.46,2.4309257495859473
37,9500,10.66,2.626480534860291
38,9750,10.469999999999999,2.341281700265904
39,10000,10.48,2.538227728159946
40,10250,10.500000000000002,2.5536248745655654
41,10500,10.55,2.4527535546809425
42,10750,10.73,2.7666947789736405
43,11000,10.67,2.866112349507604
44,11250,10.809999999999999,2.472529069596554
45,11500,10.6,2.7016661525806627
46,11750,10.69,2.6302851556437754
47,12000,10.67,2.640757467091592
48,12250,10.66,2.670468123756582
49,12500,10.540000000000001,2.636550777057025
50,12750,10.650000000000002,2.6538651058409126
51,13000,10.75,2.6512261314342846
52,13250,10.720000000000002,2.715989690702083
53,13500,10.419999999999998,2.3665586829825287
54,13750,10.540000000000001,2.480403193031327
55,14000,10.36,1.903260360539251
56,14250,10.61,2.470910763261191
57,14500,10.48,2.3378622713923933
58,14750,10.75,2.875760768909681
59,15000,10.73,2.5152733449865843
60,15250,10.61,2.623623448591661
61,15500,10.72,2.7925973573001897
62,15750,10.49,2.4838276912861725
63,16000,10.559999999999999,2.4465077150910437
64,16250,10.4,2.4035390573069533
65,16500,10.73,2.5670216204777083
66,16750,10.69,2.757788969446357
67,17000,10.639999999999999,2.507070003011484
68,17250,10.57,2.5668268348293384
69,17500,10.669999999999998,2.39553751796961
70,17750,10.620000000000001,2.4426624818013645
71,18000,10.709999999999999,2.552724035221982
72,18250,10.600000000000001,2.481733265280538
73,18500,10.760000000000002,2.653375209049787
74,18750,10.73,2.694178910169108
75,19000,10.690000000000001,2.4499795917517355
76,19250,10.659999999999998,2.623242268643901
77,19500,10.720000000000002,2.5194443831924533
78,19750,10.55,2.35180781527743
79,20000,10.42,2.392195644172942
