,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,9.98,0.4884669896727923
1,500,13.690000000000001,5.457600205218407
2,750,25.32,4.608752542716956
3,1000,87.6,64.01848951670135
4,1250,78.28999999999999,62.79785346649995
5,1500,146.49,107.94430693649387
6,1750,183.26000000000002,88.8107279555798
7,2000,176.6,49.58375742115557
8,2250,210.35,16.155401573467625
9,2500,225.66,46.361895992290904
10,2750,204.75,58.943489886500615
11,3000,194.23,49.942933434070525
12,3250,198.72,57.26082954341476
13,3500,192.33,38.789722865728244
14,3750,176.5,35.908578362279954
15,4000,179.23999999999998,31.319936142974484
16,4250,160.39000000000001,31.27251828682813
17,4500,165.13,34.443847055751476
18,4750,165.64,30.59724497401686
19,5000,159.25000000000003,25.963069926339603
20,5250,172.61,29.33089497441222
21,5500,163.74,24.275778051382822
22,5750,157.85999999999999,29.40497236863181
23,6000,158.89000000000001,29.739794888331016
24,6250,159.16,28.429252540297295
25,6500,159.99,25.32057266335025
26,6750,154.79999999999998,19.75836531699928
27,7000,153.49,28.814742754361003
28,7250,165.55,19.993398910640483
29,7500,162.70999999999998,26.567939325435088
30,7750,177.79000000000002,37.5052849609225
31,8000,174.57,31.79813831028476
32,8250,184.95,49.08905173254011
33,8500,201.49,67.89378027477922
34,8750,158.46999999999997,29.425084536836934
35,9000,264.85,109.43362828673827
36,9250,207.79000000000002,32.007239806018895
37,9500,183.61999999999998,48.57024397715128
38,9750,208.22000000000003,64.16332753216591
39,10000,264.00000000000006,115.83144219079723
40,10250,167.91000000000003,30.020782801252867
41,10500,191.21999999999997,43.340403782152286
42,10750,175.48999999999998,35.749551046132034
43,11000,163.48000000000002,39.12002811859931
44,11250,187.73000000000002,54.00244994442381
45,11500,180.0,33.98811557000476
46,11750,223.89000000000001,82.51976369331169
47,12000,252.73999999999995,69.79968051502816
48,12250,216.1,33.940285797264586
49,12500,300.21000000000004,126.49882766255186
50,12750,224.1,52.25325827161402
51,13000,297.2,96.8852362333911
52,13250,288.44,92.82280646479074
53,13500,318.2900000000001,99.24649817499859
54,13750,338.79,109.7921235790619
55,14000,262.30000000000007,88.4908865364112
56,14250,261.71000000000004,96.78570348972
57,14500,192.46,46.417123995353265
58,14750,265.27000000000004,90.91095423544955
59,15000,295.3,64.97060873964473
60,15250,289.18,60.85424060819428
61,15500,306.46,94.42329903154199
62,15750,258.91999999999996,69.77165326979144
63,16000,331.86,73.2218369067589
64,16250,280.67,109.16663684477963
65,16500,256.6,76.28519515607206
66,16750,265.36,88.66721716621088
67,17000,313.48,101.89082686876185
68,17250,326.81,126.62229029677201
69,17500,246.61999999999998,109.48543556108274
70,17750,281.77,86.26587737918162
71,18000,345.21000000000004,134.31221984614803
72,18250,300.01,102.758466317866
73,18500,300.82000000000005,121.72326646947985
74,18750,337.68,129.91170693975195
75,19000,329.65,142.03946634650526
76,19250,297.3,122.40723426333919
77,19500,265.09999999999997,113.24111444170795
78,19750,349.21000000000004,142.036704411219
79,20000,270.28,148.60117967230275
