,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,18.89,18.170206382977604
1,500,12.88,6.56175281460678
2,750,10.059999999999999,1.2626955294131676
3,1000,12.26,3.933624283024498
4,1250,17.32,14.678099331997995
5,1500,15.09,8.795078169067061
6,1750,52.08,48.24946217316832
7,2000,48.150000000000006,30.761095559163685
8,2250,61.85,23.249494618163208
9,2500,68.02,29.877995247338802
10,2750,68.59,25.882994417184424
11,3000,158.95,138.74356201280116
12,3250,169.19,151.21645876028177
13,3500,151.99,153.75224356086648
14,3750,129.23999999999998,135.8305208706791
15,4000,123.28999999999999,118.66999789331757
16,4250,174.93,131.40364759016396
17,4500,202.30999999999997,148.38533755058145
18,4750,160.35,130.26889498264734
19,5000,213.92000000000002,127.18381029046111
20,5250,186.48,128.4386803108783
21,5500,212.98999999999995,118.46463354098556
22,5750,243.98000000000002,126.71236167004386
23,6000,261.98999999999995,137.52305770306302
24,6250,272.57,143.84439022777357
25,6500,264.72999999999996,146.09302721211577
26,6750,249.83999999999997,126.5296068120027
27,7000,271.55,138.11298635537497
28,7250,281.23,142.4221773460861
29,7500,275.23,144.84785328060613
30,7750,296.73,159.06846827702842
31,8000,283.45,148.4132642320086
32,8250,285.16999999999996,136.3992140739821
33,8500,289.37,139.42362640528327
34,8750,279.71999999999997,142.32571306689454
35,9000,293.09000000000003,146.43547862454645
36,9250,267.99,135.43937905941536
37,9500,266.54,141.29467222793647
38,9750,272.81,136.00502343663635
39,10000,283.49,139.98047863898736
40,10250,262.88,123.46696562238826
41,10500,275.59000000000003,119.79589058060381
42,10750,273.18,127.30038727356646
43,11000,291.66999999999996,139.2888459281647
44,11250,274.95,126.06271455113126
45,11500,273.57,118.0989525779124
46,11750,289.59,128.02548340076675
47,12000,288.44,139.000735249854
48,12250,284.85,135.72326624422212
49,12500,300.07000000000005,131.40925614278473
50,12750,281.93,122.6302597240991
51,13000,303.6,139.70015390113213
52,13250,292.77,135.11700337115238
53,13500,285.5,138.72638898205344
54,13750,287.26,126.03640505822116
55,14000,291.82,132.77487940118792
56,14250,281.11,120.12287625594053
57,14500,274.23999999999995,124.69369430729046
58,14750,275.83,116.72717592745916
59,15000,267.65,121.0627234122874
60,15250,259.30999999999995,115.74227576819112
61,15500,257.68999999999994,98.166406677641
62,15750,275.46000000000004,114.29645838782581
63,16000,271.86,116.06504814111783
64,16250,267.39,104.8751657924792
65,16500,287.65999999999997,105.63221762322326
66,16750,277.0,107.5169056474376
67,17000,279.81,103.53257651580009
68,17250,290.33,92.72345765770385
69,17500,268.5,83.56496275353685
70,17750,277.46999999999997,93.28312601966124
71,18000,292.93,102.35841733829221
72,18250,262.29,101.00025445512502
73,18500,275.82,98.64352284868986
74,18750,284.07000000000005,96.580969139888
75,19000,287.34,107.38835784199328
76,19250,291.37,104.70773896899884
77,19500,282.67999999999995,91.86462104640721
78,19750,294.76,97.53687200233561
79,20000,273.56,88.23037118815719
