,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,13.1,4.49822187091744
1,500,84.21000000000001,93.79579095034063
2,750,151.56,86.97069851392479
3,1000,245.10999999999999,87.44704340342217
4,1250,248.67999999999998,46.72501043338568
5,1500,264.57000000000005,94.83755901540276
6,1750,279.38,125.27339142850728
7,2000,288.86,154.10720424431818
8,2250,275.08000000000004,50.39345790874049
9,2500,291.65,136.33905163231847
10,2750,242.93,81.67928501156213
11,3000,203.26,17.855598561795677
12,3250,249.37000000000003,43.88699807460064
13,3500,286.9,104.60627610234484
14,3750,324.2,100.9736896424014
15,4000,329.85,144.03611005577733
16,4250,262.25,50.572146484008364
17,4500,384.62,127.83646428151867
18,4750,290.01,142.04307586081063
19,5000,359.39,148.41380461399137
20,5250,320.97999999999996,143.06202361213823
21,5500,353.68,154.31114217709623
22,5750,319.62,148.54144741451793
23,6000,318.79,147.79995060892273
24,6250,381.8,144.95223006218288
25,6500,415.87999999999994,107.35232927142289
26,6750,376.13,153.0846876731961
27,7000,417.89,119.24051911997029
28,7250,413.01000000000005,131.13045565390215
29,7500,425.43,123.17227610140198
30,7750,402.45,119.99864165897878
31,8000,463.46000000000004,46.428853098046694
32,8250,415.59,100.8016190346167
33,8500,381.0,111.66345418264653
34,8750,377.1,62.22606367110168
35,9000,388.81,128.17329831130976
36,9250,466.96999999999997,48.84221125215361
37,9500,391.48,139.74249389502106
38,9750,427.58000000000004,144.84
39,10000,429.88,135.6623109046872
40,10250,447.18999999999994,66.77944593960031
41,10500,468.21999999999997,44.69874271162445
42,10750,486.48999999999995,27.02
43,11000,490.3,19.4
44,11250,469.85,35.40642597043649
45,11500,424.75,123.55909517311949
46,11750,428.0799999999999,132.92341253518885
47,12000,464.43999999999994,44.829302916730704
48,12250,427.91,58.27004719407733
49,12500,443.71999999999997,46.18270888546924
50,12750,379.04,125.76363305820965
51,13000,328.25,94.06361145522746
52,13250,356.96,69.53752512133286
53,13500,335.6,107.58930708950588
54,13750,305.34,111.9117929442648
55,14000,343.38,151.53252324171206
56,14250,315.67999999999995,153.84145605135177
57,14500,300.2,161.5492835019704
58,14750,406.08000000000004,134.39737199811609
59,15000,362.44,131.26793363194227
60,15250,362.14,168.24973521524484
61,15500,336.89,197.49468195371745
62,15750,414.91,111.3410184972277
63,16000,500.0,0.0
64,16250,429.65,133.37490018740408
65,16500,426.23999999999995,130.50959888069536
66,16750,431.95,127.36276535942521
67,17000,443.46999999999997,113.06000000000002
68,17250,396.21,142.90103708511006
69,17500,344.75,137.48318806312284
70,17750,370.56000000000006,94.97865233830179
71,18000,465.1,63.03364181133754
72,18250,412.65,101.07958745463894
73,18500,488.71000000000004,22.579999999999995
74,18750,461.05,77.9
75,19000,435.48,84.21690210403136
76,19250,391.65999999999997,94.9118190743387
77,19500,398.34000000000003,99.59511735019944
78,19750,438.25999999999993,108.0584998970465
79,20000,448.53000000000003,102.94
