,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,44.6,68.88311113763663
1,500,46.36,72.2814111649738
2,750,45.589999999999996,70.69645252769052
3,1000,45.8,71.28446534834922
4,1250,50.19,80.41243933621216
5,1500,52.64,85.08871488041174
6,1750,55.05,90.3048503680727
7,2000,55.3,90.40650972136906
8,2250,59.419999999999995,98.37534548859281
9,2500,66.48,112.79121242366357
10,2750,56.04,91.73822213232606
11,3000,76.84,133.26052828951265
12,3250,80.41999999999999,140.39708187850627
13,3500,83.24000000000001,146.06188551432575
14,3750,80.13,139.39368565326046
15,4000,79.45,138.23351257925842
16,4250,75.17999999999999,129.62006634776884
17,4500,84.69,148.61193559065165
18,4750,67.22999999999999,113.7451212140547
19,5000,64.56,108.25896914343865
20,5250,69.34,117.44374994013091
21,5500,67.38,113.5237886964666
22,5750,65.53,109.8766426498371
23,6000,58.46,95.29447727964092
24,6250,57.17999999999999,93.38019383145443
25,6500,73.84,125.89930659062425
26,6750,53.620000000000005,85.17840454011804
27,7000,60.71999999999999,99.8887110738746
28,7250,63.129999999999995,104.85795439545825
29,7500,53.660000000000004,85.28274385829762
30,7750,58.790000000000006,95.54227545961002
31,8000,52.379999999999995,83.1513956587621
32,8250,50.940000000000005,79.34899117191095
33,8500,49.62,77.60484263240278
34,8750,50.75,79.34995274100672
35,9000,44.83,67.38729553855089
36,9250,45.85,69.4804288990792
37,9500,42.32000000000001,62.916218894653866
38,9750,39.96,57.83544242071638
39,10000,38.39,54.648727341082704
40,10250,34.2,45.5201823370689
41,10500,38.06,53.547487336008594
42,10750,33.480000000000004,44.45758203051534
43,11000,30.54,38.267550222087635
44,11250,32.05,41.23823468578644
45,11500,30.72,38.08639652159285
46,11750,31.689999999999998,40.321649271824185
47,12000,30.880000000000003,37.56889138635848
48,12250,29.32,34.61327202100373
49,12500,28.939999999999998,34.0227482722957
50,12750,27.439999999999998,31.167296963323594
51,13000,27.74,31.22717406362606
52,13250,28.01,31.133991070853735
53,13500,26.48,29.015988695889714
54,13750,27.3,30.184648416040897
55,14000,27.839999999999996,31.223955546983472
56,14250,27.98,31.72503112685628
57,14500,27.139999999999997,28.995196153845896
58,14750,26.7,27.75791778934436
59,15000,25.7,26.519954751092616
60,15250,25.1,24.862139891811406
61,15500,26.05,26.607837191323913
62,15750,27.169999999999998,28.51051735763488
63,16000,25.130000000000003,24.944510418126068
64,16250,25.22,24.92253197409926
65,16500,23.51,21.336597666919623
66,16750,26.27,25.232867454968336
67,17000,25.020000000000003,23.62245965178055
68,17250,25.6,24.800262095389236
69,17500,24.39,21.950248290167472
70,17750,24.77,23.38667569365086
71,18000,25.580000000000002,23.418040054624555
72,18250,24.659999999999997,21.81392674416965
73,18500,26.97,24.77154819546005
74,18750,25.9,22.672384082844047
75,19000,25.23,20.828888592529367
76,19250,25.169999999999998,21.07409784545948
77,19500,26.689999999999998,24.053843767680878
78,19750,26.880000000000003,22.972540129467617
79,20000,27.05,22.302309297469627
