,eval_timesteps,eval_mean_returns,eval_std_returns
0,250,28.46,38.120052465861065
1,500,29.2,39.72520610393356
2,750,26.589999999999996,34.680100922575186
3,1000,25.939999999999998,33.40560432023346
4,1250,24.85,31.025215551225426
5,1500,25.679999999999996,32.710343929711286
6,1750,24.83,31.110329474308045
7,2000,24.700000000000003,30.350074135000067
8,2250,23.930000000000003,29.235365569802614
9,2500,25.110000000000003,31.52020621759953
10,2750,24.060000000000002,29.17028282344894
11,3000,25.940000000000005,33.005248067542226
12,3250,24.32,30.065122650672826
13,3500,24.71,30.970217952090685
14,3750,25.06,31.17042508532728
15,4000,24.810000000000002,30.870234854953726
16,4250,23.95,29.400017006797803
17,4500,25.82,32.865066560102996
18,4750,24.43,29.960450597412578
19,5000,26.890000000000004,35.13041986654871
20,5250,23.92,29.315176956655062
21,5500,27.080000000000002,35.41034594578257
22,5750,25.27,32.01514641540781
23,6000,27.670000000000005,36.69003406921286
24,6250,26.3,34.32512199541322
25,6500,25.74,32.95552154040352
26,6750,28.250000000000007,37.975241934713196
27,7000,28.919999999999998,39.01517140805612
28,7250,26.939999999999998,35.405301862856646
29,7500,28.029999999999994,37.460066737794264
30,7750,25.889999999999997,32.80523433844056
31,8000,26.65,34.47552755216371
32,8250,25.499999999999996,32.40001543209509
33,8500,26.520000000000003,34.21506393388737
34,8750,27.96,36.97011495789538
35,9000,27.55,36.60045081689569
36,9250,27.95,37.42501837006897
37,9500,28.57,38.640271738174924
38,9750,27.940000000000005,37.230342464178335
39,10000,28.540000000000003,38.5801684807104
40,10250,29.189999999999998,39.705130650836544
41,10500,28.25,37.55028628386207
42,10750,27.940000000000005,36.88033893553583
43,11000,29.060000000000002,39.495106025936934
44,11250,28.46,38.14531950318413
45,11500,28.099999999999994,37.30009383366214
46,11750,26.630000000000003,34.735235712457744
47,12000,27.360000000000003,35.79513095380432
48,12250,28.309999999999995,37.69508456019167
49,12500,28.450000000000006,38.125595077323055
50,12750,30.05,41.700155875008434
51,13000,29.459999999999997,40.14526622156092
52,13250,28.380000000000003,38.16022274568113
53,13500,27.18,35.385302033471476
54,13750,27.189999999999998,35.680350334602934
55,14000,27.96,37.07007418390203
56,14250,27.979999999999997,37.160148008316646
57,14500,26.73,35.010435587121734
58,14750,29.479999999999997,40.03511708487937
59,15000,28.45,38.100682408586856
60,15250,27.630000000000006,36.38521128150832
61,15500,28.1,37.35038152415581
62,15750,26.8,34.70025936502493
63,16000,27.23,35.86015337390514
64,16250,27.52,36.26523955525457
65,16500,28.7,38.60071242865862
66,16750,26.53,34.535323945201384
67,17000,28.390000000000004,38.18011786257345
68,17250,28.27,38.065215091997054
69,17500,28.02,37.34004017137636
70,17750,28.6,38.575328903328874
71,18000,28.26,37.570352673351366
72,18250,27.809999999999995,37.02002701241586
73,18500,30.4,42.27528828996912
74,18750,27.0,35.425682773942405
75,19000,27.560000000000002,36.245046558116044
76,19250,30.05,41.575028562828436
77,19500,26.629999999999995,34.48506343331849
78,19750,30.6,42.3251225633193
79,20000,28.310000000000002,37.79516371177667
